,Общая,Жилая,Этаж,Тип жилья,Высота потолков,Санузел,Балкон/лоджия,Цена,Комнат,Район,Линк,Кухня,Срок сдачи,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Построен,Ремонт,Вид из окон,Отделка
869,30,18,1,Вторичка,,1 совмещенный,,1430000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/245350238/,6,,,,Косметический,Во двор,
870,22,10,3,Вторичка,"2,75 м",1 совмещенный,1 балкон,1400000,1-комн.,р-н Советский,https://volgograd.cian.ru/sale/flat/227293198/,6,,,,,,
871,30,18,4,Вторичка,"2,55 м",1 совмещенный,1 балкон,1420000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/240174523/,6,,,,,,
872,30,18,6,Вторичка,"2,6 м",1 совмещенный,1 балкон,1420000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/241756377/,6,,,,,,
873,30,18,5,Вторичка,,1 совмещенный,,1400000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/242795778/,6,,,,,,
874,25,,3,Вторичка,,1 совмещенный,1 балкон,1400000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/243282619/,6,,,,Косметический,На улицу,
875,29,17,1,Вторичка,,,,1420000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/244600883/,6,,,,Косметический,На улицу,
876,31,16,5,Вторичка,,1 совмещенный,1 балкон,1400000,1-комн.,р-н Красноармейский,https://volgograd.cian.ru/sale/flat/246654124/,5,,,1965,Евроремонт,На улицу,
877,31,19,1,Вторичка,,1 совмещенный,,1400000,1-комн.,р-н Краснооктябрьский,https://volgograd.cian.ru/sale/flat/204143521/,6,,,1961,Косметический,Во двор,
878,37,20,1,Вторичка,,1 совмещенный,1 балкон,1450000,1-комн.,р-н Тракторозаводский,https://volgograd.cian.ru/sale/flat/246668510/,9,,,,Без ремонта,,
879,30,18,2,Вторичка,"2,55 м",1 совмещенный,1 балкон,1460000,1-комн.,р-н Кировский,https://volgograd.cian.ru/sale/flat/239271195/,6,,,,,,
880,28,16,1,Вторичка,,1 совмещенный,,1450000,1-комн.,р-н Центральный,https://volgograd.cian.ru/sale/flat/238721203/,6,,,,Косметический,Во двор,
881,37,25,2,Вторичка,,1 совмещенный,1 балкон,1480000,1-комн.,р-н Дзержинский,https://volgograd.cian.ru/sale/flat/245063152/,6,,,,,,
